"compnos","naturecode","incident_type_description","main_crimecode","reptdistrict","reportingarea","fromdate","weapontype","shooting","domestic","shift","year","month","day_week","ucrpart","x","y","streetname","xstreetname","location"
"152038705","SSA","Ballist","Ballist","C11","0","2015-05-12T00:10:00","Other","False","False","Last","2015","5","Tuesday","Part Two","771681.0593","2935070.74","ROSSETER ST","BULLARD ST","(42.30119026, -71.07299707)"
"152038711","VAND","AUTO THEFT","07xx","E5","0","2015-05-12T00:19:00","Other","False","False","Last","2015","5","Tuesday","Part One","751595.4118","2929436.468","BELGRADE AV","None","(42.28598136, -71.14732954)"
"152038703","CD35","VIOLATION OF LIQUOR LAWS","22xx","A1","0","2015-05-12T00:30:00","Unarmed","False","False","Last","2015","5","Tuesday","Part Two","776836.1956","2956349.079","COMMERCIAL ST","None","(42.35950634, -71.05352956)"
"152038707","ARREST","VANDALISM","14xx","D4","0","2015-05-12T00:41:00","Unarmed","False","False","Last","2015","5","Tuesday","Part Two","765614.7932","2951105.444","BOYLSTON ST","None","(42.34527135, -71.09513955)"
"152038706","AB","ROBBERY","03xx","D4","0","2015-05-12T00:45:00","Other","False","False","Last","2015","5","Tuesday","Part One","None","None","ALBANY ST","None","(0.0, 0.0)"
"152038934","PROP","VANDALISM","14xx","A1","0","2015-05-12T00:45:00","Unarmed","False","False","Last","2015","5","Tuesday","Part Two","None","None","BOWDOIN ST","None","(0.0, 0.0)"
"152038708","ARREST","DRUG CHARGES","18xx","A1","0","2015-05-12T01:00:00","Unarmed","False","False","Last","2015","5","Tuesday","Part Two","774726.3015","2954054.985","HARRISON AV","HAYWARD PL","(42.35324134, -71.06137956)"
"152039320","PROP","PropLost","PropLost","A1","0","2015-05-12T01:20:00","Unarmed","False","False","Last","2015","5","Tuesday","Part three","777022.7129","2955994.982","MILK ST","None","(42.35853201, -71.05284634)"
"152038712","FIGHT","MedAssist","MedAssist","C11","0","2015-05-12T01:50:00","Unarmed","False","False","Last","2015","5","Tuesday","Part three","772377.3177","2935812.595","LEVANT ST","None","(42.30321635, -71.07040956)"
"152038713","REQP","MedAssist","MedAssist","A1","0","2015-05-12T01:58:00","Other","False","False","Last","2015","5","Tuesday","Part three","775531.3609","2956095.092","COURT ST","None","(42.35882804, -71.05836216)"
